wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230525_004107-9immhbyw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sweet-valley-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Big
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Big/runs/9immhbyw
Episode: 1/10000, Score: -300.0, Epsilon: 0.99
Episode: 2/10000, Score: -300.0, Epsilon: 0.98
Episode: 3/10000, Score: -300.0, Epsilon: 0.96
Episode: 4/10000, Score: -300.0, Epsilon: 0.95
Episode: 5/10000, Score: -300.0, Epsilon: 0.93
Episode: 6/10000, Score: -300.0, Epsilon: 0.92
Episode: 7/10000, Score: -300.0, Epsilon: 0.91
Episode: 8/10000, Score: -300.0, Epsilon: 0.89
Episode: 9/10000, Score: -300.0, Epsilon: 0.88
Episode: 10/10000, Score: -300.0, Epsilon: 0.87
Episode: 11/10000, Score: -300.0, Epsilon: 0.85
Episode: 12/10000, Score: -300.0, Epsilon: 0.84
Episode: 13/10000, Score: -300.0, Epsilon: 0.83
Episode: 14/10000, Score: -300.0, Epsilon: 0.82
Episode: 15/10000, Score: -300.0, Epsilon: 0.80
Episode: 16/10000, Score: -300.0, Epsilon: 0.79
Episode: 17/10000, Score: -300.0, Epsilon: 0.78
Episode: 18/10000, Score: -300.0, Epsilon: 0.77
Episode: 19/10000, Score: -300.0, Epsilon: 0.76
Episode: 20/10000, Score: -300.0, Epsilon: 0.75
Episode: 21/10000, Score: -300.0, Epsilon: 0.73
Episode: 22/10000, Score: -300.0, Epsilon: 0.72
Episode: 23/10000, Score: -300.0, Epsilon: 0.71
Episode: 24/10000, Score: -300.0, Epsilon: 0.70
Episode: 25/10000, Score: -300.0, Epsilon: 0.69
Episode: 26/10000, Score: -300.0, Epsilon: 0.68
Episode: 27/10000, Score: -300.0, Epsilon: 0.67
Episode: 28/10000, Score: -300.0, Epsilon: 0.66
Episode: 29/10000, Score: -300.0, Epsilon: 0.65
Episode: 30/10000, Score: -300.0, Epsilon: 0.64
Episode: 31/10000, Score: -300.0, Epsilon: 0.63
Episode: 32/10000, Score: -300.0, Epsilon: 0.62
Episode: 33/10000, Score: -300.0, Epsilon: 0.61
Episode: 34/10000, Score: -300.0, Epsilon: 0.60
Episode: 35/10000, Score: -300.0, Epsilon: 0.60
Episode: 36/10000, Score: -300.0, Epsilon: 0.59
Episode: 37/10000, Score: -300.0, Epsilon: 0.58
Episode: 38/10000, Score: -300.0, Epsilon: 0.57
Episode: 39/10000, Score: -300.0, Epsilon: 0.56
Episode: 40/10000, Score: -300.0, Epsilon: 0.55
Episode: 41/10000, Score: -300.0, Epsilon: 0.54
Episode: 42/10000, Score: -300.0, Epsilon: 0.54
Episode: 43/10000, Score: -300.0, Epsilon: 0.53
Episode: 44/10000, Score: -300.0, Epsilon: 0.52
Episode: 45/10000, Score: -300.0, Epsilon: 0.51
Episode: 46/10000, Score: -300.0, Epsilon: 0.50
Episode: 47/10000, Score: -300.0, Epsilon: 0.50
Episode: 48/10000, Score: -300.0, Epsilon: 0.49
Episode: 49/10000, Score: -300.0, Epsilon: 0.48
Episode: 50/10000, Score: -300.0, Epsilon: 0.48
Episode: 51/10000, Score: -300.0, Epsilon: 0.47
Episode: 52/10000, Score: -300.0, Epsilon: 0.46
Episode: 53/10000, Score: -300.0, Epsilon: 0.45
Episode: 54/10000, Score: -300.0, Epsilon: 0.45
Episode: 55/10000, Score: -300.0, Epsilon: 0.44
Episode: 56/10000, Score: -300.0, Epsilon: 0.43
Episode: 57/10000, Score: -300.0, Epsilon: 0.43
Episode: 58/10000, Score: -300.0, Epsilon: 0.42
Episode: 59/10000, Score: -300.0, Epsilon: 0.42
Episode: 60/10000, Score: -300.0, Epsilon: 0.41
Episode: 61/10000, Score: -300.0, Epsilon: 0.40
Episode: 62/10000, Score: -300.0, Epsilon: 0.40
Episode: 63/10000, Score: -300.0, Epsilon: 0.39
Episode: 64/10000, Score: -300.0, Epsilon: 0.39
Episode: 65/10000, Score: -300.0, Epsilon: 0.38
Episode: 66/10000, Score: -300.0, Epsilon: 0.37
Episode: 67/10000, Score: -300.0, Epsilon: 0.37
Episode: 68/10000, Score: -300.0, Epsilon: 0.36
Episode: 69/10000, Score: -300.0, Epsilon: 0.36
Episode: 70/10000, Score: -300.0, Epsilon: 0.35
Episode: 71/10000, Score: -300.0, Epsilon: 0.35
Episode: 72/10000, Score: -300.0, Epsilon: 0.34
Episode: 73/10000, Score: -300.0, Epsilon: 0.34
Episode: 74/10000, Score: -300.0, Epsilon: 0.33
Episode: 75/10000, Score: -300.0, Epsilon: 0.33
Episode: 76/10000, Score: -300.0, Epsilon: 0.32
Episode: 77/10000, Score: -300.0, Epsilon: 0.32
Episode: 78/10000, Score: -300.0, Epsilon: 0.31
Episode: 79/10000, Score: -300.0, Epsilon: 0.31
Episode: 80/10000, Score: -300.0, Epsilon: 0.30
Episode: 81/10000, Score: -300.0, Epsilon: 0.30
Episode: 82/10000, Score: -300.0, Epsilon: 0.29
Episode: 83/10000, Score: -300.0, Epsilon: 0.29
Episode: 84/10000, Score: -300.0, Epsilon: 0.29
Episode: 85/10000, Score: -300.0, Epsilon: 0.28
Episode: 86/10000, Score: -300.0, Epsilon: 0.28
Episode: 87/10000, Score: -300.0, Epsilon: 0.27
Episode: 88/10000, Score: -300.0, Epsilon: 0.27
Episode: 89/10000, Score: -300.0, Epsilon: 0.26
Episode: 90/10000, Score: -300.0, Epsilon: 0.26
Episode: 91/10000, Score: -300.0, Epsilon: 0.26
Episode: 92/10000, Score: -300.0, Epsilon: 0.25
Episode: 93/10000, Score: -300.0, Epsilon: 0.25
Episode: 94/10000, Score: -300.0, Epsilon: 0.25
Episode: 95/10000, Score: -300.0, Epsilon: 0.24
Episode: 96/10000, Score: -300.0, Epsilon: 0.24
Episode: 97/10000, Score: -300.0, Epsilon: 0.23
Episode: 98/10000, Score: -300.0, Epsilon: 0.23
Episode: 99/10000, Score: -300.0, Epsilon: 0.23
Episode: 100/10000, Score: -300.0, Epsilon: 0.22
LunarLander solved in 100 episodes!
Episode: 101/10000, Score: -300.0, Epsilon: 0.22
Episode: 102/10000, Score: -300.0, Epsilon: 0.22
Episode: 103/10000, Score: -300.0, Epsilon: 0.21
Episode: 104/10000, Score: -300.0, Epsilon: 0.21
Episode: 105/10000, Score: -300.0, Epsilon: 0.21
Episode: 106/10000, Score: -300.0, Epsilon: 0.21
Episode: 107/10000, Score: -300.0, Epsilon: 0.20
Episode: 108/10000, Score: -300.0, Epsilon: 0.20
Episode: 109/10000, Score: -300.0, Epsilon: 0.20
Episode: 110/10000, Score: -300.0, Epsilon: 0.19
Episode: 111/10000, Score: -300.0, Epsilon: 0.19
Episode: 112/10000, Score: -300.0, Epsilon: 0.19
Episode: 113/10000, Score: -300.0, Epsilon: 0.18
Episode: 114/10000, Score: -300.0, Epsilon: 0.18
Episode: 115/10000, Score: -300.0, Epsilon: 0.18
Episode: 116/10000, Score: -300.0, Epsilon: 0.18
Episode: 117/10000, Score: -300.0, Epsilon: 0.17
Episode: 118/10000, Score: -300.0, Epsilon: 0.17
Episode: 119/10000, Score: -300.0, Epsilon: 0.17
Episode: 120/10000, Score: -300.0, Epsilon: 0.17
Episode: 121/10000, Score: -300.0, Epsilon: 0.16
Episode: 122/10000, Score: -300.0, Epsilon: 0.16
Episode: 123/10000, Score: -300.0, Epsilon: 0.16
Episode: 124/10000, Score: -300.0, Epsilon: 0.16
Episode: 125/10000, Score: -300.0, Epsilon: 0.15
Episode: 126/10000, Score: -300.0, Epsilon: 0.15
Episode: 127/10000, Score: -300.0, Epsilon: 0.15
Episode: 128/10000, Score: -300.0, Epsilon: 0.15
Episode: 129/10000, Score: -300.0, Epsilon: 0.15
Episode: 130/10000, Score: -300.0, Epsilon: 0.14
Episode: 131/10000, Score: -300.0, Epsilon: 0.14
Episode: 132/10000, Score: -300.0, Epsilon: 0.14
Episode: 133/10000, Score: -300.0, Epsilon: 0.14
Episode: 134/10000, Score: -300.0, Epsilon: 0.13
Episode: 135/10000, Score: -300.0, Epsilon: 0.13
Episode: 136/10000, Score: -300.0, Epsilon: 0.13
Episode: 137/10000, Score: -300.0, Epsilon: 0.13
Episode: 138/10000, Score: -300.0, Epsilon: 0.13
Episode: 139/10000, Score: -300.0, Epsilon: 0.13
Episode: 140/10000, Score: -300.0, Epsilon: 0.12
Episode: 141/10000, Score: -300.0, Epsilon: 0.12
Episode: 142/10000, Score: -300.0, Epsilon: 0.12
Episode: 143/10000, Score: -300.0, Epsilon: 0.12
Episode: 144/10000, Score: -300.0, Epsilon: 0.12
